id,person_id,game_id,team_id,penalty,owngoal,minute
1,1,1,154,f,t,11
2,2,1,211,f,f,29
3,2,1,211,t,f,71
4,3,1,211,f,f,90
5,4,2,190,f,f,61
6,5,4,154,f,f,11
7,6,4,154,f,f,48
8,7,4,154,f,f,61
9,7,4,154,f,f,73
10,2,5,211,f,f,17
11,8,5,22,f,f,26
12,2,5,211,f,f,35
13,9,5,211,f,f,49
14,10,5,211,f,f,84
15,11,6,190,f,f,72
16,12,6,190,f,f,75
17,13,6,190,f,f,82
18,6,6,154,f,f,87
19,14,7,129,t,f,27
20,15,7,137,f,f,44
21,16,7,137,f,f,53
22,17,7,137,f,f,65
23,15,7,137,f,f,72
24,16,7,137,f,f,80
25,18,8,212,f,f,12
26,19,8,212,f,f,14
27,20,8,193,f,f,35
28,21,8,212,f,f,90
29,22,9,212,f,f,20
30,23,9,212,f,f,43
31,16,10,137,f,f,20
32,24,10,193,f,f,21
33,25,10,193,t,f,54
34,15,10,137,f,f,58
35,26,10,137,f,f,68
36,27,11,129,f,f,36
37,28,11,129,f,f,69
38,29,11,129,f,f,82
39,30,12,137,f,f,77
40,26,12,137,f,f,90
41,31,13,215,f,f,5
42,32,13,215,f,f,58
43,33,13,215,f,f,90
44,34,14,72,f,f,16
45,35,14,17,f,f,64
46,36,14,17,f,f,66
47,33,15,215,f,f,64
48,37,15,215,f,f,70
49,36,15,17,f,f,73
50,38,17,215,t,f,17
51,39,17,72,f,f,45
52,40,17,215,f,f,55
53,40,17,215,f,f,82
54,33,17,215,f,f,90
55,41,18,132,f,f,42
56,35,18,17,f,f,74
57,42,18,132,t,f,90
58,43,19,214,t,f,24
59,44,19,118,f,f,54
60,45,19,118,f,f,57
61,46,19,118,f,f,84
62,47,20,134,f,f,35
63,48,20,170,f,f,37
64,49,20,134,f,f,50
65,50,21,214,f,f,39
66,51,21,170,f,f,75
67,50,21,214,f,f,85
68,52,22,118,f,f,44
69,53,23,214,f,f,81
70,54,25,216,f,f,22
71,55,25,153,f,f,48
72,56,25,153,f,f,90
73,57,26,131,t,f,45
74,58,26,131,f,t,48
75,57,26,131,f,f,72
76,59,27,131,f,f,17
77,60,27,131,f,f,18
78,61,27,131,f,f,40
79,57,27,131,f,f,67
80,62,27,131,f,f,73
81,63,27,153,f,f,81
82,64,27,153,f,f,87
83,65,28,117,f,f,31
84,54,28,216,f,f,34
85,54,28,216,f,f,65
86,66,29,153,f,f,6
87,66,29,153,f,f,31
88,66,29,153,f,f,71
89,67,31,210,f,t,3
90,68,31,210,f,f,65
91,69,31,162,f,f,85
92,68,33,210,f,f,90
93,70,34,20,f,f,29
94,68,35,210,f,f,3
95,71,35,20,f,f,4
96,68,35,210,f,f,45
97,71,35,20,f,f,47
98,72,35,210,f,f,50
99,73,36,162,f,f,23
100,74,36,162,f,f,59
101,75,36,178,f,f,82
102,76,36,162,f,f,83
103,77,37,127,t,f,12
104,78,37,127,f,f,32
105,77,37,127,f,f,45
106,77,37,127,f,f,78
107,79,38,191,f,f,1
108,80,38,18,f,f,82
109,81,38,191,f,f,86
110,82,39,127,f,f,51
111,80,39,18,f,f,54
112,83,39,18,f,f,63
113,84,39,127,f,f,71
114,85,40,138,f,f,5
115,86,40,191,f,f,64
116,79,40,191,f,f,81
117,87,40,138,f,f,90
118,77,41,127,f,f,55
119,88,42,138,f,t,31
120,83,42,18,f,f,57
121,89,42,138,f,f,80
122,90,43,1,t,f,25
123,91,43,125,f,f,70
124,92,43,125,f,f,80
125,93,44,74,f,f,68
126,94,44,156,f,f,74
127,95,45,125,f,f,88
128,96,46,1,f,f,26
129,97,46,1,f,f,28
130,98,46,1,f,f,38
131,99,46,74,f,f,50
132,100,46,1,f,f,62
133,101,46,74,f,f,72
134,102,47,125,f,f,78
135,103,48,156,f,f,6
136,96,48,1,f,f,60
137,104,49,211,f,f,18
138,18,49,212,f,f,32
139,33,50,215,f,f,28
140,33,50,215,f,f,50
141,105,51,190,f,f,48
142,106,51,137,f,f,88
143,107,51,137,f,f,90
144,52,52,118,f,f,52
145,108,52,132,f,f,90
146,109,53,131,f,f,79
147,110,53,131,f,t,90
148,111,54,127,f,f,92
149,112,54,127,f,f,120
150,98,54,1,f,f,121
151,113,55,210,f,f,118
152,114,56,125,f,f,93
153,115,56,125,f,f,105
154,116,56,191,f,f,107
155,117,57,211,f,f,7
156,104,57,211,f,f,69
157,33,57,215,t,f,80
158,78,58,127,f,f,13
159,118,60,210,f,f,8
160,77,61,127,f,f,11
161,84,61,127,f,f,23
162,119,61,127,f,f,24
163,119,61,127,f,f,26
164,120,61,127,f,f,29
165,121,61,127,f,f,69
166,121,61,127,f,f,79
167,3,61,211,f,f,90
168,15,63,137,t,f,3
169,122,63,137,f,f,17
170,123,63,137,f,f,90
171,82,64,127,f,f,113
