id,team1_id,team2_id,knockout,round_id
1,211,154,f,1
2,190,22,f,2
3,211,190,f,6
4,22,154,f,7
5,22,211,f,12
6,154,190,f,12
7,129,137,f,2
8,212,193,f,2
9,129,212,f,7
10,193,137,f,7
11,193,129,f,12
12,137,212,f,12
13,215,132,f,3
14,17,72,f,3
15,215,17,f,8
16,72,132,f,8
17,72,215,f,13
18,132,17,f,13
19,214,118,f,3
20,170,134,f,3
21,214,170,f,8
22,134,118,f,9
23,134,214,f,13
24,118,170,f,13
25,153,216,f,4
26,131,117,f,4
27,153,131,f,9
28,117,216,f,9
29,117,153,f,14
30,216,131,f,14
31,210,162,f,4
32,178,20,f,5
33,210,178,f,10
34,20,162,f,10
35,20,210,f,14
36,162,178,f,14
37,127,138,f,5
38,18,191,f,5
39,127,18,f,10
40,191,138,f,11
41,191,127,f,15
42,138,18,f,15
43,125,1,f,6
44,156,74,f,6
45,125,156,f,11
46,74,1,f,11
47,74,125,f,15
48,1,156,f,15
49,211,212,t,16
50,215,214,t,16
51,137,190,t,16
52,118,132,t,16
53,131,20,t,16
54,127,1,t,16
55,210,153,t,16
56,125,191,t,16
57,211,215,t,17
58,131,127,t,17
59,137,118,t,17
60,210,125,t,17
61,211,127,t,18
62,137,210,t,18
63,211,137,t,19
64,127,210,t,20
