id,name
1,Marcelo
2,Neymar
3,Oscar
4,Oribe Peralta
5,Ivica Olić
6,Ivan Perišić
7,Mario Mandžukić
8,Joel Matip
9,Fred
10,Fernandinho
11,Rafael Márquez
12,Andres Guardado
13,Javier Hernández
14,Xabi Alonso
15,Robin Van Persie
16,Arjen Robben
17,Stefan De Vrij
18,Alexis Sánchez
19,Jorge Valdívia
20,Cahill
21,Jean Beausejour
22,Eduardo Vargas
23,Charles Aránguiz
24,Tim Cahill
25,Mile Jedinak
26,Memphis Depay
27,David Villa
28,Fernando Torres
29,Juan Mata
30,Leroy Fer
31,Pablo Armero
32,Teofilo Gutiérrez
33,James Rodríguez
34,Keisuke Honda
35,Wilfried Bony
36,Gervinho
37,Juan Quintero
38,Juan Cuadrado
39,Shinji Okazaki
40,Jackson Martínez
41,Andreas Samaris
42,Georgios Samaras
43,Edinson Cavani
44,Joel Campbell
45,Oscar Duarte
46,Marcos Ureña
47,Claudio Marchisio
48,Daniel Sturridge
49,Mario Balotelli
50,Luis Suárez
51,Wayne Rooney
52,Bryan Ruiz
53,Diego Godín
54,Enner Valencia
55,Admir Mehmedi
56,Haris Seferović
57,Karim Benzema
58,Noel Valladares
59,Olivier Giroud
60,Blaise Matuidi
61,Mathieu Valbuena
62,Moussa Sissoko
63,Blerim Džemaili
64,Granit Xhaka
65,Carlo Costly
66,Xherdan Shaqiri
67,Sead Kolašinac
68,Lionel Messi
69,Vedad Ibišević
70,Peter Odemwingie
71,Ahmed Musa
72,Marcos Rojo
73,Edin Džeko
74,Miralem Pjanić
75,Reza Ghoochannejhad
76,Avdija Vršajević
77,Thomas Müller
78,Mats Hummels
79,Clint Dempsey
80,André Ayew
81,John Brooks
82,Mario Götze
83,Asamoah Gyan
84,Miroslav Klose
85,Nani
86,Jermaine Jones
87,Varela
88,John Boye
89,Cristiano Ronaldo
90,Sofiane Feghouli
91,Marouane Fellaini
92,Dries Mertens
93,Lee Keunho
94,Alexander Kerzhakov
95,Divock Origi
96,Islam Slimani
97,Rafik Halliche
98,Abdelmoumene Djabou
99,Son Heung Min
100,Yacine Brahimi
101,Koo Jacheol
102,Jan Vertonghen
103,Alexander Kokorin
104,David Luiz
105,Giovani dos Santos
106,Wesley Sneijder
107,Klaas Jan Huntelaar
108,Socratis Papastathopoulos
109,Paul Pogba
110,Joseph Yobo
111,André Schürrle
112,Mesut Özil
113,Ángel di María
114,Kevin De Bruyne
115,Romelu Lukaku
116,Julian Green
117,Thiago Silva
118,Gonzalo Higuaín
119,Toni Kroos
120,Sami Khedira
121,Andre Schürrle
122,Daley Blind
123,Georginio Wijnaldum
